Climate_Type,Year,Rainfall (mm),City,Avg_Rainfall_mm
Continental,2015,5216.65,4,1304.1625
Continental,2016,4673.9400000000005,4,1168.4850000000001
Continental,2017,5399.37,4,1349.8425
Continental,2018,4190.04,4,1047.51
Continental,2019,4824.01,4,1206.0025
Continental,2020,5354.2699999999995,4,1338.5674999999999
Continental,2021,4216.52,4,1054.13
Continental,2022,4726.9,4,1181.725
Continental,2023,4883.1,4,1220.775
Oceanic,2015,6633.04,6,1105.5066666666667
Oceanic,2016,7450.33,6,1241.7216666666666
Oceanic,2017,6650.63,6,1108.4383333333333
Oceanic,2018,6940.03,6,1156.6716666666666
Oceanic,2019,7735.96,6,1289.3266666666666
Oceanic,2020,7471.24,6,1245.2066666666667
Oceanic,2021,7352.89,6,1225.4816666666668
Oceanic,2022,6578.86,6,1096.4766666666667
Oceanic,2023,6850.95,6,1141.825
